recipe_id,ingredient_id,quantity,unit_norm
1,1,1.0,
1,2,2.75,tsp
1,3,2.0,
1,4,2.0,tbsp
1,5,1.0,tbsp
1,6,6.0,tbsp
1,7,0.25,tsp
1,8,,pinch
1,9,,
1,10,0.3333333333333333,loaf
1,11,2.0,
1,12,2.0,tbsp
1,13,0.5,
1,14,3.0,tbsp
1,15,1.0,tbsp
1,16,0.25,cup
1,6,2.0,tbsp
1,17,0.25,cup
1,18,2.0,cup
1,15,2.0,tsp
1,2,,
1,9,,
2,19,2.0,
2,20,1.0,lb
2,2,2.0,tsp
2,9,0.75,tsp
2,5,1.0,tsp
2,21,1.0,tsp
2,22,1.0,tsp
3,23,1.0,cup
3,24,1.0,cup
3,25,1.0,tsp
3,26,1.0,tsp
3,27,1.0,tsp
3,9,0.5,tsp
3,2,1.0,tsp
3,28,2.0,lb
3,29,,
3,30,1.0,lb
4,31,1.0,
4,12,2.0,tbsp
4,32,2.0,lb
4,6,1.0,
4,33,3.0,
4,34,4.0,
4,35,5.0,
4,36,4.0,
4,37,0.75,cup
4,38,0.5,cup
4,39,1.0,cup
4,40,0.5,cup
4,41,4.0,
5,42,1.0,tsp
5,43,1.0,tsp
5,44,1.5,
5,45,0.5,
5,46,2.0,tsp
5,47,,
6,48,2.0,
6,49,1.5,
6,45,0.75,
6,50,1.0,tbsp
7,51,,
7,52,,
7,53,,
7,54,1.0,cup
7,45,1.5,tsp
7,55,,
7,56,2.0,
8,57,0.25,cup
8,58,0.75,tsp
8,59,1.5,
8,44,,
8,60,,
8,45,0.5,
8,55,,
9,61,0.75,cup
9,62,0.25,cup
9,63,0.25,cup
9,64,1.5,lb
9,2,3.0,tsp
9,65,,
9,66,3.0,
9,67,0.3333333333333333,cup
9,35,4.0,
9,68,,
9,69,1.0,tsp
9,58,1.0,tsp
9,70,3.0,
9,71,0.5,cup
9,72,0.5,
9,73,2.0,
9,74,,
10,75,1.0,
10,33,1.0,
10,58,0.5,tsp
10,76,1.0,tsp
10,77,0.25,tsp
10,78,2.0,tbsp
10,36,3.0,
10,67,2.0,tbsp
10,79,0.5,tsp
10,12,,
10,2,,
10,22,,
10,74,,
11,80,1.0,
11,35,0.5,
11,2,,
11,81,1.5,tsp
11,23,1.0,
11,82,,
11,83,,
11,84,0.25,cup
11,85,1.0,
11,86,1.5,tsp
12,87,1.0,
12,88,5.0,
12,89,5.0,
12,90,1.0,cup
12,91,2.0,cup
12,42,0.5,cup
12,92,0.5,cup
12,93,0.5,cup
12,14,2.0,tbsp
12,2,,
13,94,6.0,
13383,94,6.0,
13,34,2.0,
13383,34,2.0,
13,89,1.0,
13383,89,1.0,
13,33,1.0,
13383,33,1.0,
13,95,0.25,tsp
13383,95,0.25,tsp
13,96,0.75,lb
13383,96,0.75,lb
13,97,2.0,
13383,97,2.0,
13,98,1.5,lb
13383,98,1.5,lb
13,99,2.0,cup
13383,99,2.0,cup
13,100,2.0,cup
13383,100,2.0,cup
13,101,,
13383,101,,
14,102,8.0,
14,35,8.0,
14,84,6.0,tbsp
14,103,1.0,tbsp
14,12,2.0,tbsp
14,9,1.5,tsp
14,1,1.0,
14,2,,
14,66,8.0,
14,104,2.0,
14,105,,
14,106,,
14,107,2.0,
14,108,,
14,74,,
15,109,1.5,lb
15,2,,
15,6,3.0,tbsp
15,110,2.0,
15,104,1.0,
15,111,1.5,cup
15,112,2.75,cup
15,113,1.0,
15,35,2.0,
15,114,1.0,tbsp
15,8,,
15,115,1.0,cup
15,12,4.0,tbsp
16,116,1.3333333333333333,cup
16,117,5.0,tbsp
16,118,2.5,tsp
16,119,4.0,
16,120,2.0,
16,121,1.0,tsp
16,122,1.5,lb
16,35,4.0,
16,21,2.0,
16,14,1.0,tbsp
16,123,1.0,tsp
16,6,3.0,tbsp
16,33,,
16,124,,
16,125,,
16,126,,
17,127,5.0,tbsp
17,128,8.0,
17,129,,
17,35,3.0,
17,72,0.5,
17,2,,
17,130,2.0,
17,112,1.5,cup
17,131,,
17,71,,
18,132,6.0,tbsp
18,133,4.0,
18,2,,
18,134,3.0,cup
18,135,2.0,
18,136,,
18,137,,
18,138,,
19,139,3.0,lb
19,2,7.5,tsp
19,140,1.0,lb
19,66,,
19,6,5.0,tbsp
19,37,0.75,cup
19,35,2.0,
19,9,0.5,tsp
19,141,0.25,tsp
19,21,8.0,
19,142,8.0,
19,106,3.5,
19,104,1.0,
19,74,,
20,143,1.0,
20,144,2.5,
20,145,0.25,cup
20,146,0.25,cup
20,147,0.25,cup
20,148,,
